City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,56.71,88,0,3.44,US,1723938453
1,utrik,11.2278,169.8474,83.3,76,96,17.2,MH,1723938453
2,isafjordur,66.0755,-23.124,36.57,98,100,9.06,IS,1723938455
3,tiksi,71.6872,128.8694,56.19,53,56,16.67,RU,1723938456
4,aasiaat,68.7098,-52.8699,32.23,93,80,2.95,GL,1723938457
5,buala,-8.145,159.5921,82.96,78,97,9.4,SB,1723938457
6,luderitz,-26.6481,15.1594,54.81,69,0,11.72,NA,1723938457
7,kerikeri,-35.2268,173.9474,67.91,86,93,10.0,NZ,1723938457
8,waitangi,-43.9535,-176.5597,54.82,98,100,5.99,NZ,1723938353
9,afaahiti,-17.75,-149.2833,74.21,85,72,21.18,PF,1723938458
10,dickinson,29.4608,-95.0513,94.06,68,40,11.5,US,1723938458
11,puerto leguizamo,-0.1934,-74.7819,73.96,93,71,4.03,CO,1723938458
12,port mathurin,-19.6833,63.4167,72.95,69,42,23.0,MU,1723938459
13,port-aux-francais,-49.35,70.2167,35.01,63,99,27.54,TF,1723938354
14,bredasdorp,-34.5322,20.0403,49.15,91,0,6.42,ZA,1723938460
15,sabang,5.8933,95.3214,83.17,73,100,9.06,ID,1723938460
16,constantia,44.1833,28.65,66.88,67,0,6.4,RO,1723938460
17,adamstown,-25.066,-130.1015,65.86,60,72,12.35,PN,1723938347
18,brookings,44.3114,-96.7984,75.2,73,40,5.75,US,1723938383
19,hohhot,40.8106,111.6522,62.89,88,0,2.24,CN,1723938462
20,minot air force base,48.4209,-101.3391,77.09,59,40,3.44,US,1723938462
21,olonkinbyen,70.9221,-8.7187,40.89,99,100,3.71,SJ,1723938462
22,vilyuchinsk,52.9306,158.4028,59.27,68,99,1.68,RU,1723938463
23,blackmans bay,-43.0167,147.3167,45.73,78,100,1.01,AU,1723938354
24,pangai,-19.8,-174.35,75.06,78,81,16.49,TO,1723938463
25,zhob,31.3411,69.4481,73.94,83,92,7.18,PK,1723938247
26,filadelfia,39.9523,-75.1638,74.55,87,100,5.75,US,1723938418
27,wattegama,6.7989,81.4808,75.96,90,100,6.49,LK,1723938464
28,new norfolk,-42.7826,147.0587,46.92,80,98,1.03,AU,1723938465
29,papatowai,-46.5619,169.4708,43.54,55,100,9.55,NZ,1723938353
30,ushuaia,-54.8,-68.3,37.06,81,40,12.66,AR,1723938182
31,mount gambier,-37.8333,140.7667,54.12,89,100,6.2,AU,1723938466
32,gadzhiyevo,69.2551,33.3362,51.73,90,70,3.83,RU,1723938466
33,puerto natales,-51.7236,-72.4875,31.53,92,31,3.29,CL,1723938342
34,longyearbyen,78.2186,15.6401,48.04,87,40,1.14,SJ,1723938467
35,uturoa,-16.7333,-151.4333,78.24,78,19,17.63,PF,1723938467
36,teguise,29.0605,-13.564,71.82,78,20,18.41,ES,1723938468
37,grytviken,-54.2811,-36.5092,24.93,63,47,9.95,GS,1723938344
38,hamilton,39.1834,-84.5333,84.65,63,14,13.0,US,1723938429
39,port lincoln,-34.7333,135.8667,56.88,70,100,1.92,AU,1723938469
40,rikaze,29.25,88.8833,51.85,58,0,2.59,CN,1723938469
41,punta arenas,-53.15,-70.9167,37.51,75,0,5.75,CL,1723938217
42,nemuro,43.3236,145.575,60.06,89,73,12.06,JP,1723938471
43,enewetak,11.3474,162.3373,82.18,83,99,19.46,MH,1723938471
44,avarua,-21.2078,-159.775,73.45,68,75,12.66,CK,1723938472
45,albany,42.6001,-73.9662,74.34,78,100,1.99,US,1723937867
46,anadyr,64.75,177.4833,54.1,66,20,15.66,RU,1723938472
47,udachny,66.4167,112.4,61.0,56,79,9.51,RU,1723938345
48,wamba,8.9333,8.6,71.17,94,57,3.38,NG,1723938474
49,roseburg north,43.2645,-123.3033,63.88,68,100,4.61,US,1723938474
50,margaret river,-33.95,115.0667,55.36,71,94,27.74,AU,1723938342
51,manta,-0.95,-80.7333,76.78,73,20,16.11,EC,1723938475
52,callao,-12.0667,-77.15,67.71,77,20,9.22,PE,1723938475
53,trincomalee,8.5711,81.2335,80.92,79,95,16.91,LK,1723938475
54,la passe,45.5549,-0.8967,64.89,69,50,9.84,FR,1723938475
55,lethem,3.3803,-59.7968,80.24,68,87,5.73,GY,1723938476
56,susuman,62.7833,148.1667,57.74,50,94,8.84,RU,1723938476
57,polyarnyy,69.1989,33.4478,51.82,91,72,4.63,RU,1723938476
58,yellowknife,62.456,-114.3525,69.42,60,20,16.11,CA,1723938477
59,faya-largeau,17.9257,19.1043,90.21,47,33,7.29,TD,1723938477
60,finote selam,10.7,37.2667,58.15,98,100,1.32,ET,1723938477
61,grand baie,-20.0182,57.5802,67.44,88,25,1.01,MU,1723938478
62,sola,-13.8833,167.55,78.39,85,88,17.38,VU,1723938478
63,nar'yan-mar,67.6713,53.087,44.58,93,8,6.93,RU,1723938478
64,zhangatas,43.5667,69.75,62.29,52,0,3.13,KZ,1723938479
65,port elizabeth,-33.918,25.5701,54.32,86,0,3.44,ZA,1723938479
66,aykhal,66.0,111.5,59.13,60,67,11.43,RU,1723938479
67,an nuhud,12.7,28.4333,73.15,86,91,12.01,SD,1723938480
68,adzope,6.1069,-3.8619,68.81,97,72,2.77,CI,1723938330
69,stanley,54.868,-1.6985,55.51,82,0,6.91,GB,1723938454
70,college,64.8569,-147.8028,59.09,87,100,6.91,US,1723938481
71,iqaluit,63.7506,-68.5145,56.93,47,75,15.01,CA,1723938356
72,invercargill,-46.4,168.35,46.02,55,94,7.0,NZ,1723938481
73,sitka,57.0531,-135.33,64.29,72,75,5.75,US,1723938481
74,laungowal,30.2167,75.6833,82.62,78,98,3.56,IN,1723938482
75,hawaiian paradise park,19.5933,-154.9731,82.72,81,100,10.36,US,1723938352
76,puerto ayora,-0.7393,-90.3518,67.55,96,98,8.99,EC,1723938482
77,lastoursville,-0.8143,12.7287,75.4,68,56,2.04,GA,1723938483
78,nalut,30.3333,10.85,87.73,22,0,7.85,LY,1723938483
79,ribeira grande,38.5167,-28.7,77.4,78,40,5.75,PT,1723938483
80,ayutla,20.1167,-104.3333,71.42,76,100,3.2,MX,1723938485
81,naxos,37.1056,25.3764,81.3,70,0,11.99,GR,1723938459
82,dobrinka,52.1653,40.4731,61.09,62,7,6.64,RU,1723938485
83,manadhoo,5.7667,73.3833,81.27,82,100,24.56,MV,1723938486
84,dzidzantun,21.25,-89.05,82.8,71,8,5.26,MX,1723938486
85,cabo san lucas,22.8909,-109.9124,83.05,64,62,9.69,MX,1723938486
86,pacific grove,36.6177,-121.9166,77.36,60,20,11.5,US,1723938486
87,ribas do rio pardo,-20.4431,-53.7592,78.6,22,0,6.2,BR,1723938487
